ipeds_id,AllStudentTotal
188137,8448
188182,575
188216,507
188225,1987
188261,1857
188289,119
188304,2982
188340,1802
188429,5819
188438,4861
188517,565
188526,916
188641,1993
188650,667
188669,114
188678,346
188687,645
188696,169
188854,1722
188890,2029
188915,66
188942,145
189088,2051
189097,2705
189219,452
189228,5727
189255,108
189264,12
189273,56
189282,217
189404,173
189413,904
189459,168
189468,346
189477,263
189547,9473
189556,509
189565,384
189574,717
189583,873
189592,483
189705,2515
189714,463
189811,813
189839,7220
189848,1018
189857,458
189954,43
189990,822
190008,64
190044,3154
190053,1790
190071,153
190099,3034
190114,1127
190150,8335
190169,2151
190239,288
190248,1237
190318,588
190372,896
190415,15222
190442,5147
190451,323
190503,4035
190512,18674
190521,35812
190530,14954
190549,17859
190558,15102
190567,15644
190576,2988
190585,9755
190594,20471
190600,16119
190619,20637
190628,25259
190637,16060
190646,9167
190655,20973
190664,20564
190673,20604
190691,10586
190707,20
190716,1911
190725,2026
190752,37
190761,1607
190840,11358
190956,144
190974,453
190983,1004
191083,19637
191126,10101
191199,9497
191205,677
191241,10344
191287,863
191302,2807
191311,345
191339,7529
191515,2039
191533,1277
191597,609
191612,3851
191621,1327
191630,2291
191649,7343
191676,1111
191719,15742
191728,1848
191931,3490
191940,112
191959,103
191968,6335
191986,5472
192004,421
192022,4839
192040,161
192110,592
192165,160
192192,1789
192271,1992
192323,3005
192448,11661
192484,145
192509,2333
192624,199
192688,1040
192703,3757
192712,491
192749,1855
192785,1008
192800,52
192819,6173
192864,2283
192925,2028
192961,150
192970,20
193016,7997
193052,254
193061,35
193070,50
193122,121
193186,128
193201,853
193247,143
193265,104
193283,8852
193292,6115
193308,8399
193326,25793
193353,2238
193380,173
193399,1773
193478,26621
193584,2314
193609,98
193645,2996
193654,8788
193672,61
193858,583
193900,29431
193946,6470
193973,3148
193991,60
194028,2368
194091,4029
194116,587
194161,1645
194189,134
194222,14800
194240,8235
194259,37
194310,9652
194392,798
194435,208
194499,1504
194569,321
194578,4220
194657,153
194666,305
194693,52
194736,147
194763,265
194824,6493
194958,1571
195003,15115
195030,7324
195058,9481
195067,835
195128,1423
195164,1664
195173,2433
195191,318
195216,2509
195234,2587
195243,2025
195289,166
195304,1493
195322,8342
195438,131
195474,3316
195526,2856
195544,1042
195562,3432
195702,209
195720,2948
195784,761
195809,18051
195933,373
195988,1986
196006,4060
196015,4981
196024,4138
196033,3277
196042,19869
196051,3741
196060,15178
196079,14866
196088,23672
196097,20208
196103,1915
196112,2411
196121,8026
196130,9749
196149,7124
196158,4681
196167,5863
196176,8514
196185,6594
196194,9847
196200,3996
196219,4683
196237,6119
196246,6069
196255,370
196264,15814
196291,1790
196307,293
196389,1189
196413,28487
196431,301
196440,10
196565,9075
196583,73
196592,7871
196653,1772
196680,36802
196699,4560
196866,2223
197018,1945
197027,970
197036,4646
197045,4362
197133,2562
197142,642
197151,3778
197197,1944
197221,98
197230,494
197285,1331
197294,20279
197337,109
197531,729
197601,152
197647,85
197674,190
197692,83
197708,2925
197735,658
197744,200
197814,3263
197832,639
197850,3935
197869,18135
197887,10492
197911,970
197966,1994
197984,1721
197993,541
198011,1643
198039,2812
198066,698
198084,1860
198109,481
198118,4636
198136,5183
198154,12293
198190,78
198206,2077
198215,1492
198233,6125
198251,6811
198260,29552
198303,1582
198321,3883
198330,6255
198367,4599
198376,5013
198385,1985
198419,7504
198455,8049
198464,25427
198491,2967
198507,1538
198516,6187
198534,18684
198543,6522
198552,11306
198561,2454
198570,7333
198598,1018
198613,1824
198622,14735
198640,1626
198668,2223
198677,45
198695,4631
198710,2662
198729,1596
198756,1578
198774,5343
198808,1019
198817,3843
198835,1830
198844,314
198862,1353
198871,715
198899,1343
198905,1001
198914,1455
198923,1418
198950,1900
198969,2149
198978,4672
198987,4188
199005,13
199023,1142
199032,845
199069,4197
199078,303
199087,4549
199102,11370
199111,4366
199120,19773
199139,27078
199148,18374
199157,7165
199184,889
199193,27424
199209,2459
199218,16604
199263,693
199272,1133
199281,6252
199306,881
199324,1692
199333,12206
199412,2010
199421,3475
199449,3107
199458,214
199467,1067
199476,2631
199485,2379
199494,7939
199582,1040
199607,869
199625,2049
199634,5329
199643,1635
199670,150
199689,224
199698,756
199722,1887
199731,3262
199740,3837
199759,847
199768,4040
199786,5651
199795,1411
199838,4014
199847,5244
199856,29480
199865,644
199883,181
199892,4392
199908,2306
199926,3416
199953,2687
199962,2729
199971,48
199980,192
199999,5408
200004,10449
200013,894
200022,4948
200059,1742
200086,331
200110,64
200156,1035
200165,46
200192,2964
200208,362
200217,2862
200226,1549
200253,3574
200262,15
200280,13536
200305,3657
200314,1225
200332,12459
200341,1559
200387,39
200466,427
200484,202
200527,744
200554,551
200572,1669
200590,268
200624,26
200785,839
200800,18944
200846,2523
200873,89
201016,220
201034,1390
201061,188
201098,71
201104,6910
201131,161
201159,235
201177,468
201195,3503
201283,1496
201371,812
201399,193
201432,2457
201441,16652
201469,544
201478,217
201496,399
201539,160
201548,3029
201645,5275
201654,3838
201672,5380
201681,156
201690,2004
